"Kategorie","Aufgaben","Aufwand total","Personalaufwand","Sachaufwand","Laufende Beiträge","Verrechnungen","Übriger Aufwand","Nettobelastung -Nettoertrag","Ausgaben total","Sachgüter","Darlehen Beteiligungen","Investitionsbeiträge ","Nettobelastung -Nettoertrag","Konsolidierte Gesamtausgaben"
BEHÖRDEN UND ALLGEMEINE VERWALTUNG,Legislative und Exekutive,14831.00,8506.00,2698.00,246.00,3381.00,,14423.00,,,,,,11450.00
BEHÖRDEN UND ALLGEMEINE VERWALTUNG,Gemeindeverwaltung,692863.00,262903.00,138242.00,2103.00,60055.00,229561.00,36134.00,45172.00,45172.00,,,45123.00,448420.00
BEHÖRDEN UND ALLGEMEINE VERWALTUNG,Leistungen für Pensionierte,,,,,,,,,,,,,
BEHÖRDEN UND ALLGEMEINE VERWALTUNG,Verwaltungsliegenschaften,209451.00,,137746.00,41.00,41587.00,30077.00,64497.00,76653.00,76653.00,,,76653.00,214581.00
RECHTSCHUTZ UND SICHERHEIT,Rechtspflege,143791.00,75084.00,17676.00,17205.00,18209.00,15617.00,58743.00,140.00,140.00,,,140.00,110107.00
RECHTSCHUTZ UND SICHERHEIT,Polizei,349638.00,272425.00,31182.00,54.00,36902.00,9076.00,242677.00,4425.00,4425.00,,,4425.00,308086.00
RECHTSCHUTZ UND SICHERHEIT,Rechtssprechung,24115.00,9221.00,4994.00,,1993.00,7907.00,-3197.00,,,,,,14215.00
RECHTSCHUTZ UND SICHERHEIT,Feuerwehr und Feuerpolizei,60035.00,46013.00,9864.00,,3089.00,1069.00,18449.00,3137.00,3137.00,,,982.00,59014.00
RECHTSCHUTZ UND SICHERHEIT,Militär,,,,,,,,,,,,,
RECHTSCHUTZ UND SICHERHEIT,Zivilschutz,10497.00,3445.00,6852.00,200.00,,,9173.00,350.00,,,350.00,0.00,10847.00
BILDUNG,Kindergarten,45588.00,3275.00,690.00,30728.00,10895.00,,45498.00,2500.00,2500.00,,,2500.00,37193.00
BILDUNG,Volksschule,711845.00,264370.00,103787.00,178820.00,163450.00,1418.00,642668.00,74590.00,74590.00,,,73613.00,621567.00
BILDUNG,Sonderschulung,127785.00,73215.00,5891.00,43514.00,5165.00,,92733.00,,,,,,122620.00
BILDUNG,Berufsbildung,52351.00,34803.00,5140.00,3021.00,9351.00,36.00,31693.00,,,,,,42963.00
BILDUNG,Bildungswesen Übriges,4996.00,4694.00,4.00,297.00,2.00,4949.00,,,,,,,4994.00
KULTUR UND FREIZEIT,Kulturförderung,164526.00,12187.00,15385.00,117263.00,14270.00,5422.00,105778.00,21617.00,500.00,3150.00,17967.00,21617.00,166453.00
KULTUR UND FREIZEIT,"Denkmalpflege, Heimatschutz",3772.00,2494.00,802.00,2.00,473.00,,2204.00,,,,,,3298.00
