"Kategorie","Aufgaben","Aufwand total","Personalaufwand","Sachaufwand","Laufende Beiträge","Verrechnungen","Übriger Aufwand","Nettobelastung -Nettoertrag","Ausgaben total","Sachgüter","Darlehen Beteiligungen","Investitionsbeiträge ","Nettobelastung -Nettoertrag "
"BEHÖRDEN UND ALLGEMEINE VERWALTUNG","Legislative und Exekutive",18036,10451,3489,465,3615,16,17467,,,,,
"BEHÖRDEN UND ALLGEMEINE VERWALTUNG","Gemeindeverwaltung",566328,197705,107302,3638,53307,204376,-49884,50997,48482,,2515,50131
"BEHÖRDEN UND ALLGEMEINE VERWALTUNG","Leistungen für Pensionierte",,,,,,,,,,,,
"BEHÖRDEN UND ALLGEMEINE VERWALTUNG","Verwaltungsliegenschaften",214168,,116495,9387,44425,43861,49061,71355,71355,,,67642
"RECHTSCHUTZ UND SICHERHEIT","Rechtspflege",171484,73165,15047,50184,19290,13797,55547,,,,,
"RECHTSCHUTZ UND SICHERHEIT","Polizei",349426,265897,32722,215,34714,15878,188223,16575,16575,,,16575
"RECHTSCHUTZ UND SICHERHEIT","Rechtssprechung",23375,8824,4082,,2042,8428,-9778,,,,,
"RECHTSCHUTZ UND SICHERHEIT","Feuerwehr und Feuerpolizei",58756,41253,12030,,2880,2593,25221,5556,5556,,,3318
"RECHTSCHUTZ UND SICHERHEIT","Militär",,,,,,,,,,,,
"RECHTSCHUTZ UND SICHERHEIT","Zivilschutz",7560,4207,3089,15,,248,5846,403,,,403,0
"BILDUNG","Kindergarten",43544,3469,697,28113,11265,,43467,,,,,
"BILDUNG","Volksschule",673334,235136,99660,172568,160600,5370,611689,69300,69300,,,67593
"BILDUNG","Sonderschulung",119727,65964,5349,43673,4741,0,84424,,,,,
"BILDUNG","Berufsbildung",51250,32013,5274,3772,10045,146,31731,5870,5870,,,5870
"BILDUNG","Bildungswesen Übriges",9709,8016,399,1265,29,0,6711,,,,,
"KULTUR UND FREIZEIT","Kulturförderung",159147,12443,15260,114023,13935,3485,98139,11164,1633,5712,3819,11164
"KULTUR UND FREIZEIT","Denkmalpflege, Heimatschutz",14365,4497,7017,1551,1137,163,12894,,,,,
"KULTUR UND FREIZEIT","Massenmedien, Antennen- und Kabelanlagen",,,,,,,,,,,,
"KULTUR UND FREIZEIT","Parkanlagen, Wanderwege",40544,17190,9516,175,7111,6552,26471,17935,17935,,,16337
"KULTUR UND FREIZEIT","Sport",128174,33478,24820,3603,59524,6748,97568,17040,16512,,528,10768
"KULTUR UND FREIZEIT","Übrige Freizeitgestaltung",11749,2338,2089,3825,2053,1445,6199,2656,860,410,1386,1978
"KULTUR UND FREIZEIT","Kirche",,,,,,,,,,,,
"GESUNDHEIT","Spitäler",519586,333238,134823,9153,32264,10107,66558,55712,52722,,2990,17470
"GESUNDHEIT","Kranken- und Pflegeheime",221568,161979,33388,1322,24352,527,24972,11883,11617,,266,8210
"GESUNDHEIT","Ambulante Krankenpflege",36452,1049,281,35016,106,,36122,,,,,
